id,Soil_Metric,metal,Name,GEN_GRAIN,GEN_GRAIN_Desc,SOIL_GROUP,Land_Cover_Type,value,HM_unit,HM_name,PH_07,LOI_07
LEEDS_0050f95ac14f,Heavy Metals,As,Priesthorpe Lane Allotments,,,,,40.53,mg/kg,Arsenic,,
LEEDS_0050f95ac14f,Heavy Metals,Cd,Priesthorpe Lane Allotments,,,,,0.46,mg/kg,Cadmium,,
LEEDS_0050f95ac14f,Heavy Metals,Cu,Priesthorpe Lane Allotments,,,,,46.85,mg/kg,Copper,,
LEEDS_0050f95ac14f,Heavy Metals,Ni,Priesthorpe Lane Allotments,,,,,32.53,mg/kg,Nickel,,
LEEDS_0050f95ac14f,Heavy Metals,P2O5,Priesthorpe Lane Allotments,,,,,0.29,w%,Phosphorus,,
LEEDS_0050f95ac14f,Heavy Metals,Pb,Priesthorpe Lane Allotments,,,,,103.8,mg/kg,Lead,,
LEEDS_0050f95ac14f,Heavy Metals,Se,Priesthorpe Lane Allotments,,,,,0.95,mg/kg,Selenium,,
LEEDS_0050f95ac14f,Heavy Metals,Zr,Priesthorpe Lane Allotments,,,,,273.67,mg/kg,Zirconium,,
LEEDS_0050f95ac14f,Land Cover,,Priesthorpe Lane Allotments,,,,Suburban | Urban,,,,,
LEEDS_0050f95ac14f,Soil Parent,,Priesthorpe Lane Allotments,MIXED (ARGILLIC-RUDACEOUS),"A variable clay, silt, and sand subsoil.",MEDIUM TO LIGHT(SILTY) TO HEAVY,,,,,,
LEEDS_0096ea1047b5,Heavy Metals,As,Incredible Edible Raised Beds,,,,,18.2,mg/kg,Arsenic,,
LEEDS_0096ea1047b5,Heavy Metals,Cd,Incredible Edible Raised Beds,,,,,0.41,mg/kg,Cadmium,,
LEEDS_0096ea1047b5,Heavy Metals,Cu,Incredible Edible Raised Beds,,,,,31.25,mg/kg,Copper,,
LEEDS_0096ea1047b5,Heavy Metals,Ni,Incredible Edible Raised Beds,,,,,29.33,mg/kg,Nickel,,
LEEDS_0096ea1047b5,Heavy Metals,P2O5,Incredible Edible Raised Beds,,,,,0.27,w%,Phosphorus,,
LEEDS_0096ea1047b5,Heavy Metals,Pb,Incredible Edible Raised Beds,,,,,90.06,mg/kg,Lead,,
LEEDS_0096ea1047b5,Heavy Metals,Se,Incredible Edible Raised Beds,,,,,0.84,mg/kg,Selenium,,
LEEDS_0096ea1047b5,Heavy Metals,Zr,Incredible Edible Raised Beds,,,,,266.72,mg/kg,Zirconium,,
LEEDS_0096ea1047b5,Land Cover,,Incredible Edible Raised Beds,,,,Suburban,,,,,
LEEDS_0096ea1047b5,Soil Parent,,Incredible Edible Raised Beds,ARGILLIC - ARENACEOUS,"A layered subsoil of clay, silt and sand.",MEDIUM TO HEAVY,,,,,,
LEEDS_00eaf4fca568,Heavy Metals,As,Incredible Edible Raised Beds,,,,,16.73,mg/kg,Arsenic,,
LEEDS_00eaf4fca568,Heavy Metals,Cd,Incredible Edible Raised Beds,,,,,0.49,mg/kg,Cadmium,,
LEEDS_00eaf4fca568,Heavy Metals,Cu,Incredible Edible Raised Beds,,,,,20.28,mg/kg,Copper,,
LEEDS_00eaf4fca568,Heavy Metals,Ni,Incredible Edible Raised Beds,,,,,25.43,mg/kg,Nickel,,
LEEDS_00eaf4fca568,Heavy Metals,P2O5,Incredible Edible Raised Beds,,,,,0.21,w%,Phosphorus,,
LEEDS_00eaf4fca568,Heavy Metals,Pb,Incredible Edible Raised Beds,,,,,56.79,mg/kg,Lead,,
LEEDS_00eaf4fca568,Heavy Metals,Se,Incredible Edible Raised Beds,,,,,0.7,mg/kg,Selenium,,
LEEDS_00eaf4fca568,Heavy Metals,Zr,Incredible Edible Raised Beds,,,,,317.12,mg/kg,Zirconium,,
LEEDS_00eaf4fca568,Land Cover,,Incredible Edible Raised Beds,,,,Suburban,,,,,
LEEDS_00eaf4fca568,Soil Parent,,Incredible Edible Raised Beds,ARENACEOUS,A sand-rich subsoil.,MEDIUM TO HEAVY,,,,,,
LEEDS_02897c62d264,Heavy Metals,As,Fearnville Road Overgrown Allotments,,,,,16.37,mg/kg,Arsenic,,
LEEDS_02897c62d264,Heavy Metals,Cd,Fearnville Road Overgrown Allotments,,,,,0.37,mg/kg,Cadmium,,
LEEDS_02897c62d264,Heavy Metals,Cu,Fearnville Road Overgrown Allotments,,,,,26.47,mg/kg,Copper,,
LEEDS_02897c62d264,Heavy Metals,Ni,Fearnville Road Overgrown Allotments,,,,,31.2,mg/kg,Nickel,,
LEEDS_02897c62d264,Heavy Metals,P2O5,Fearnville Road Overgrown Allotments,,,,,0.25,w%,Phosphorus,,
LEEDS_02897c62d264,Heavy Metals,Pb,Fearnville Road Overgrown Allotments,,,,,69.08,mg/kg,Lead,,
LEEDS_02897c62d264,Heavy Metals,Se,Fearnville Road Overgrown Allotments,,,,,0.64,mg/kg,Selenium,,
LEEDS_02897c62d264,Heavy Metals,Zr,Fearnville Road Overgrown Allotments,,,,,181.08,mg/kg,Zirconium,,
LEEDS_02897c62d264,Land Cover,,Fearnville Road Overgrown Allotments,,,,Improve grassland,,,,,
LEEDS_02897c62d264,Soil Parent,,Fearnville Road Overgrown Allotments,ARGILLIC - ARENACEOUS,"A layered subsoil of clay, silt and sand.",MEDIUM TO HEAVY,,,,,,
LEEDS_02a539b5f281,Heavy Metals,As,Thorner Road Allotments,,,,,12.42,mg/kg,Arsenic,,
LEEDS_02a539b5f281,Heavy Metals,Cd,Thorner Road Allotments,,,,,0.72,mg/kg,Cadmium,,
LEEDS_02a539b5f281,Heavy Metals,Cu,Thorner Road Allotments,,,,,18.65,mg/kg,Copper,,
LEEDS_02a539b5f281,Heavy Metals,Ni,Thorner Road Allotments,,,,,19.61,mg/kg,Nickel,,
LEEDS_02a539b5f281,Heavy Metals,P2O5,Thorner Road Allotments,,,,,0.19,w%,Phosphorus,,
LEEDS_02a539b5f281,Heavy Metals,Pb,Thorner Road Allotments,,,,,58.39,mg/kg,Lead,,
LEEDS_02a539b5f281,Heavy Metals,Se,Thorner Road Allotments,,,,,0.53,mg/kg,Selenium,,
LEEDS_02a539b5f281,Heavy Metals,Zr,Thorner Road Allotments,,,,,244.22,mg/kg,Zirconium,,
LEEDS_02a539b5f281,Land Cover,,Thorner Road Allotments,,,,Arable | Improve grassland,,,,,
LEEDS_02a539b5f281,Soil Parent,,Thorner Road Allotments,ARGILLIC - ARENACEOUS,"A layered subsoil of clay, silt and sand.",LIGHT(SILTY) TO MEDIUM(SILTY),,,,,,
